dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
19,FC.6,French,Riparian Terrace,9,10,0,0,0,0,0,254,0,2,0,5,0,0,8,0,4,5,0,8,27,0,0,0,3,0,0,0,0,0,0,0,7,26,0,0,0
20,GC.1,Gov Canyon,Active Channel,1,32,0,0,1,0,0,164,0,0,0,16,0,15,29,2,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,8,54,39,0,0,0
21,GC.2,Gov Canyon,Island-midbar/island,9,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
22,GC.3,Gov Canyon,Active Channel Shelf,0,15,0,0,1,0,0,64,0,0,0,0,0,12,12,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,40,24,0,0,0
23,GC.4,Gov Canyon,Floodplain,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GC.5,Gov Canyon,Riparian Terrace,1,8,0,0,0,1,0,45,0,0,0,0,0,6,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,36,0,0,0
25,GCT.1,Gov Canyon Trib,Active Channel,3,14,0,0,3,2,0,132,0,0,0,0,0,0,5,2,0,12,0,0,19,0,0,0,0,0,11,0,0,0,0,0,273,29,0,0,0
26,GCT.2,Gov Canyon Trib,Island-midbar/island,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0,0,3,0,0,0,0,62,9,0,0,0
27,GCT.3,Gov Canyon Trib,Active Channel Shelf,0,4,0,0,0,3,0,39,0,0,0,0,0,0,9,0,0,26,0,0,18,0,0,0,0,0,0,2,0,0,0,1,210,11,0,0,0
28,GCT.4,Gov Canyon Trib,Floodplain,0,3,0,0,0,1,0,31,0,0,0,1,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,1,278,18,0,0,0
29,GCT.5,Gov Canyon Trib,Riparian Terrace,1,8,0,0,0,1,0,19,0,0,0,1,0,3,2,3,0,10,0,0,1,0,0,6,0,0,0,0,0,0,0,0,152,20,0,0,0
30,HC.1,Huesta,Active Channel,0,2,0,0,0,0,0,1188,17,0,0,0,1,2,4,0,5,1,3,1,14,0,0,0,5,0,1,0,0,0,0,9,4,5,0,3,0
31,HC.2,Huesta,Island-midbar/island,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HC.3,Huesta,Secondary Active Channel,0,5,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,HC.4,Huesta,Active Channel Shelf,7,21,0,0,0,0,0,212,5,0,0,1,0,3,10,3,0,2,0,4,17,0,0,0,1,0,4,0,0,0,0,8,9,19,0,4,0
34,HC.5,Huesta,Floodplain,2,10,0,0,1,0,0,54,8,0,0,4,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0
35,HC.6,Huesta,Riparian Terrace,61,30,9,0,0,12,0,573,45,0,5,17,0,11,46,9,0,14,2,9,32,0,0,0,0,0,2,0,2,0,0,1,13,76,0,3,0
36,LC.1,Leon,Active Channel,0,0,0,1,0,1,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0
37,LC.2,Leon,Island-midbar/island,0,0,0,3,0,0,14,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0
38,LC.4,Leon,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0
39,LC.5,Leon,Floodplain,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,LC.6,Leon,Riparian Terrace,3,12,0,0,2,18,0,35,0,0,0,0,0,18,13,0,0,5,3,0,54,0,0,2,5,0,4,0,0,0,0,0,0,57,2,0,1
