dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
22,GC.3,Gov Canyon,Active Channel Shelf,0,0.085117647,0,0,0.023947525,0,0,0.19713725,0,0,0,0,0,0.08295666,0.110608879,0.023947525,0.049239849,0,0,0,0.035698862,0,0,0,0,0,0,0.023947525,0,0,0,0.060792972,0.167356861,0.139248445,0,0,0
23,GC.4,Gov Canyon,Floodplain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GC.5,Gov Canyon,Riparian Terrace,0.023733329,0.132165262,0,0,0,0.023733329,0,0.143810396,0,0,0,0,0,0.058134546,0.113985886,0,0,0.015822219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054206979,0.231337404,0.20307065,0,0,0
25,GCT.1,Gov Canyon Trib,Active Channel,0.027094941,0.065388541,0,0,0.030870974,0.022122926,0,0.212704393,0,0,0,0,0,0,0.060067808,0.022122926,0,0.046185197,0,0,0.073558499,0,0,0,0,0,0.06449886,0,0,0,0,0,0.255714193,0.119670741,0,0,0
26,GCT.2,Gov Canyon Trib,Island-midbar/island,0,0.168534655,0,0,0,0,0,0.031377353,0,0,0,0,0,0,0,0,0,0.081278853,0,0,0.085355629,0,0,0,0,0,0,0.072779228,0,0,0,0,0.387074979,0.173599302,0,0,0
27,GCT.3,Gov Canyon Trib,Active Channel Shelf,0,0.03925088,0,0,0,0.032247889,0,0.118413147,0,0,0,0,0,0,0.111640985,0,0,0.119425278,0,0,0.114771077,0,0,0,0,0,0,0.026330291,0,0,0,0.027051802,0.3221951,0.08867355,0,0,0
28,GCT.4,Gov Canyon Trib,Floodplain,0,0.089542287,0,0,0,0.022178613,0,0.156852611,0,0,0,0.022178613,0,0,0.037258896,0,0,0.105914326,0,0,0,0,0,0,0,0,0,0.031365295,0,0,0,0.032224777,0.373109341,0.129375241,0,0,0
29,GCT.5,Gov Canyon Trib,Riparian Terrace,0.025581213,0.137627034,0,0,0,0.025581213,0,0.063238452,0,0,0,0.025581213,0,0.044307961,0.038134221,0.044307961,0,0.051938194,0,0,0.037168641,0,0,0.041773947,0,0,0,0,0,0,0,0,0.305198874,0.159561074,0,0,0
30,HC.1,Huesta,Active Channel,0,0.063594211,0,0,0,0,0,0.317800777,0.056123108,0,0,0,0.031296654,0.030461926,0.065785694,0,0.045974079,0.007179945,0.032902641,0.031296654,0.026864894,0,0,0,0.048164535,0,0.031296654,0,0,0,0,0.074287278,0.05449195,0.045974079,0,0.036504919,0
31,HC.2,Huesta,Island-midbar/island,0,0,0,0,0,0,0,0.616194786,0,0,0,0,0,0,0,0,0,0,0,0,0.383805214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HC.3,Huesta,Secondary Active Channel,0,0.316008326,0,0,0,0,0,0.50692899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177062684,0,0,0,0
33,HC.4,Huesta,Active Channel Shelf,0.055593733,0.15811398,0,0,0,0,0,0.155193738,0.059945885,0,0,0.021012456,0,0.036394641,0.06803408,0.036394641,0,0.009905367,0,0.014008304,0.028878858,0,0,0,0.021012456,0,0.047659124,0,0,0,0,0.066888735,0.075761487,0.103177602,0,0.042024912,0
34,HC.5,Huesta,Floodplain,0.055145088,0.180314038,0,0,0.049151707,0,0,0.198934626,0.101141096,0,0,0.077986931,0,0,0.148511136,0,0,0,0,0,0.022512888,0,0,0,0,0,0,0,0,0,0,0.034389004,0,0.131913485,0,0,0
35,HC.6,Huesta,Riparian Terrace,0.089922597,0.116778989,0.066815256,0,0,0.039883618,0,0.163658784,0.05473412,0,0.025744765,0.047471,0,0.038185657,0.08879767,0.034540226,0,0.031647334,0.005427473,0.011513409,0.036032453,0,0,0,0,0,0.017163176,0,0.005427473,0,0,0.003837803,0.038949446,0.063526942,0,0.019941809,0
36,LC.1,Leon,Active Channel,0,0,0,0.272101305,0,0.062811195,0,0.492510798,0,0,0,0,0,0,0.029609481,0,0,0,0,0,0,0,0,0,0,0.062811195,0,0,0,0,0,0,0.020937065,0.029609481,0.029609481,0,0
37,LC.2,Leon,Island-midbar/island,0,0,0,0.231531819,0,0,0.163313036,0.204500878,0,0,0,0,0,0.052939328,0.08893527,0,0,0,0,0,0,0,0.100600201,0,0,0,0,0,0,0,0,0,0,0.158179468,0,0,0
38,LC.4,Leon,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483314774,0,0,0,0,0,0,0,0,0.516685226,0,0,0
39,LC.5,Leon,Floodplain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,LC.6,Leon,Riparian Terrace,0.031528647,0.049294154,0,0,0.03633022,0.077229097,0,0.159096198,0,0,0,0,0,0.093035729,0.05403312,0,0,0.013567769,0.09150955,0,0.04458824,0,0,0.008581011,0.030459567,0,0.012135382,0,0,0,0,0,0,0.178063727,0.102344518,0,0.018203073
