dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Frangula caroliniana,Ulmus crassifolia,Melia azedarach,Pistacia chinensis,Triadica sebifera,Condalia viridis,Populus deltoides,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Maclura pomifera,Carya illinoinensis,Ilex decidua,Baccharis neglecta,Rhus lanceolata,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima
dummy,CC.2,Gov Canyon Trib,Island-midbar/island,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,10,3,0,0
dummy,CC.3,Gov Canyon Trib,Active Channel Shelf,0,19,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,14,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,44,10,0,0
dummy,CC.4,Gov Canyon Trib,Floodplain,2,17,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,13,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,1,49,28,0,0
dummy,CC.5,Gov Canyon Trib,Riparian Terrace,1,18,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,0,0
dummy,HC.1,Huesta,Active Channel,0,15,0,0,0,0,0,0,110,1,2,0,0,0,5,0,1,13,0,1,0,0,0,15,0,0,0,0,0,3,0,0,0,0,4,0,0,2,1,0,0
dummy,HC.2,Huesta,Island-midbar/island,0,1,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dummy,HC.3,Huesta,Secondary Active Channel,0,11,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
dummy,HC.4,Huesta,Active Channel Shelf,0,19,0,0,0,0,0,0,87,3,9,0,0,0,2,0,0,15,0,0,0,2,2,22,0,0,2,0,0,0,0,0,0,0,0,0,2,6,4,0,0
dummy,HC.5,Huesta,Floodplain,0,18,0,0,0,2,0,0,39,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,4,5,0,0
dummy,HC.6,Huesta,Riparian Terrace,15,119,14,0,0,0,0,0,199,2,57,0,0,0,11,0,2,88,2,5,2,0,3,75,0,0,0,0,0,0,0,0,12,0,1,0,1,5,23,0,0
dummy,LC.1,Leon,Active Channel,0,0,0,8,0,0,0,0,35,0,0,0,0,0,0,0,0,8,0,5,0,1,0,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0
dummy,LC.2,Leon,Island-midbar/island,0,1,0,2,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,6,1
dummy,LC.3,Leon,Secondary Active Channel,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
dummy,LC.4,Leon,Active Channel Shelf,0,1,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
dummy,LC.5,Leon,Floodplain,0,5,0,2,0,0,0,0,36,0,0,0,0,4,0,0,1,4,0,17,0,8,0,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,6,14,0
dummy,LC.6,Leon,Riparian Terrace,3,22,0,0,3,1,0,0,154,1,0,0,0,0,0,0,8,50,0,3,0,22,0,65,3,3,0,0,0,9,0,0,0,0,0,0,1,0,58,25,1
