dummy,creek sample,creek name,geo type,Mahonia trifoliolata,Juniperus ashei,Phyllostachys aurea,Salix nigra,Condalia hookeri,Croton fruticulosus,Cephalanthus occidentalis,Ulmus crassifolia,Pistacia chinensis,Triadica sebifera,Condalia viridis,Forestiera angustifolia,Styphnolobium affine,Sideroxylon lanuginosum,Celtis laevigata,Colubrina texensis,Prosopis glandulosa,Ptelea trifoliata,Vachellia farnesiana,Ligustrum japonicum,Quercus virginiana,Ungnadia speciosa,Mimosa borealis,Ilex decidua,Baccharis neglecta,Sesbania drummondii,Sapindus saponaria var. drummondii,Bernardia myricifolia,Quercus buckleyi,Juglans microcarpa,Crataegus texana,Eysenhardtia texana,Sophora secundiflora,Diospyros texana,Fraxinus velutina,Aloysia gratissima,Unknown
11,LCT.1,Leon Creek Trib,Active Channel,0.025236724,0.187160554,0,0,0,0.025236724,0,0.253625936,0,0,0,0.025236724,0,0,0.107070352,0,0,0,0,0,0.176657067,0,0.025236724,0,0,0,0,0,0,0,0,0.025236724,0,0.149302472,0,0,0
12,LCT.3,Leon Creek Trib,Active Channel Shelf,0.138150689,0.169199348,0,0,0,0,0,0.245840953,0,0,0,0,0,0,0,0,0,0.056399783,0,0,0.187056918,0,0,0,0,0,0,0,0,0,0,0,0,0.203352309,0,0,0
13,LCT.4,Leon Creek Trib,Floodplain,0.079606488,0.2320908,0,0,0,0,0,0.2320908,0,0,0,0,0,0,0.079606488,0,0,0,0,0,0.056290287,0,0,0,0,0,0,0,0,0,0,0.056290287,0,0.26402485,0,0,0
14,LCT.5,Leon Creek Trib,Riparian Terrace,0.167266412,0.167266412,0,0,0,0.027877735,0,0.280167773,0,0,0,0,0,0.048285654,0.08815714,0,0,0,0,0,0.068286227,0,0,0,0,0,0,0,0,0,0,0,0,0.152692645,0,0,0
15,FC.1,French,Active Channel,0,0,0,0,0,0,0,0.427815543,0,0.089205707,0,0,0,0,0.089205707,0,0,0,0,0,0.089205707,0,0,0,0.178411414,0,0,0,0,0,0,0,0,0.126155921,0,0,0
16,FC.3,French,Secondary Active Channel,0,0,0,0,0,0,0,0.637334171,0,0,0,0,0,0,0,0,0,0,0,0,0.212444724,0,0,0,0,0,0,0,0,0,0,0,0,0.150221105,0,0,0
17,FC.4,French,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,FC.5,French,Floodplain,0.032386136,0.032386136,0,0,0,0,0,0.289670404,0,0,0,0,0.032386136,0,0.072417601,0,0,0,0,0,0.46256654,0,0,0,0,0,0,0,0,0,0,0,0.032386136,0.045800912,0,0,0
19,FC.6,French,Riparian Terrace,0.059623379,0.06284856,0,0,0,0,0,0.316746768,0,0.028106731,0,0.044440643,0,0,0.056213461,0,0.03974892,0.044440643,0,0.056213461,0.103270723,0,0,0,0.034423574,0,0,0,0,0,0,0,0.052582878,0.101340258,0,0,0
20,GC.1,Gov Canyon,Active Channel,0.017662439,0.099913841,0,0,0.017662439,0,0,0.226189577,0,0,0,0.070649754,0,0.06840633,0.095115142,0.02497846,0,0,0,0,0,0,0,0.02497846,0.017662439,0,0,0,0,0.04673042,0,0.04995692,0.129791886,0.110301893,0,0,0
21,GC.2,Gov Canyon,Island-midbar/island,0.284287628,0.189525086,0,0,0,0,0,0.211895487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314291799,0,0,0,0
22,GC.3,Gov Canyon,Active Channel Shelf,0,0.102316016,0,0,0.026417882,0,0,0.211343054,0,0,0,0,0,0.091514227,0.091514227,0.026417882,0.037360527,0,0,0,0.037360527,0,0,0,0,0,0,0.026417882,0,0,0,0.052835763,0.167081354,0.129420661,0,0,0
23,GC.4,Gov Canyon,Floodplain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GC.5,Gov Canyon,Riparian Terrace,0.027578797,0.078004618,0,0,0,0.027578797,0,0.185004196,0,0,0,0,0,0.067553981,0.082736392,0,0,0.055157595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055157595,0.255755245,0.165472784,0,0,0
25,GCT.1,Gov Canyon Trib,Active Channel,0.030490158,0.06586627,0,0,0.030490158,0.02489511,0,0.202248831,0,0,0,0,0,0,0.039362625,0.02489511,0,0.060980317,0,0,0.076731883,0,0,0,0,0,0.058384208,0,0,0,0,0,0.290857574,0.094797755,0,0,0
26,GCT.2,Gov Canyon Trib,Island-midbar/island,0,0.133984913,0,0,0,0,0,0.09033261,0,0,0,0,0,0,0,0,0,0.09033261,0,0,0.176090674,0,0,0,0,0,0,0.069971339,0,0,0,0,0.318093943,0.121193913,0,0,0
27,GCT.3,Gov Canyon Trib,Active Channel Shelf,0,0.047013553,0,0,0,0.040714931,0,0.146799773,0,0,0,0,0,0,0.07052033,0,0,0.119861513,0,0,0.099730807,0,0,0,0,0,0,0.033243602,0,0,0,0.023506777,0.340645556,0.077963158,0,0,0
28,GCT.4,Gov Canyon Trib,Floodplain,0,0.045380466,0,0,0,0.026200424,0,0.14587779,0,0,0,0.026200424,0,0,0.037052996,0,0,0.108027117,0,0,0,0,0,0,0,0,0,0.037052996,0,0,0,0.026200424,0.436848375,0.111158987,0,0,0
29,GCT.5,Gov Canyon Trib,Riparian Terrace,0.025988625,0.073506932,0,0,0,0.025988625,0,0.11328179,0,0,0,0.025988625,0,0.045013619,0.036753466,0.045013619,0,0.082183249,0,0,0.025988625,0,0,0.063658871,0,0,0,0,0,0,0,0,0.320409289,0.116224665,0,0,0
30,HC.1,Huesta,Active Channel,0,0.021319951,0,0,0,0,0,0.519612299,0.062157804,0,0,0,0.015075482,0.021319951,0.030150964,0,0.033709802,0.015075482,0.0261115,0.015075482,0.056407288,0,0,0,0.033709802,0,0.015075482,0,0,0,0,0.045226445,0.030150964,0.033709802,0,0.0261115,0
31,HC.2,Huesta,Island-midbar/island,0,0,0,0,0,0,0,0.405868846,0,0,0,0,0,0,0,0,0,0,0,0,0.594131154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HC.3,Huesta,Secondary Active Channel,0,0.117394572,0,0,0,0,0,0.830104979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052500449,0,0,0,0
33,HC.4,Huesta,Active Channel Shelf,0.048656923,0.084276263,0,0,0,0,0,0.267771009,0.041122606,0,0,0.018390588,0,0.031853433,0.058156147,0.031853433,0,0.02600822,0,0.036781177,0.075826338,0,0,0,0.018390588,0,0.036781177,0,0,0,0,0.052016439,0.055171765,0.080162716,0,0.036781177,0
34,HC.5,Huesta,Floodplain,0.050173916,0.112192286,0,0,0.035478316,0,0,0.260711313,0.100347831,0,0,0.070956632,0,0,0.086903771,0,0,0,0,0,0.061450246,0,0,0,0,0,0,0,0,0,0,0.093866801,0,0.127918887,0,0,0
35,HC.6,Huesta,Riparian Terrace,0.076908962,0.053935246,0.029541551,0,0,0.034111644,0,0.235716153,0.066056915,0,0.022018972,0.040600978,0,0.032659413,0.066786848,0.029541551,0,0.036844787,0.013926021,0.029541551,0.055704082,0,0,0,0,0,0.013926021,0,0.013926021,0,0,0.009847184,0.035504525,0.085845756,0,0.017055822,0
36,LC.1,Leon,Active Channel,0,0,0,0.083442517,0,0.083442517,0,0.312213311,0,0,0,0,0,0,0.11800554,0,0,0,0,0,0,0,0,0,0,0.083442517,0,0,0,0,0,0,0.083442517,0.11800554,0.11800554,0,0
37,LC.2,Leon,Island-midbar/island,0,0,0,0.131975934,0,0,0.285100603,0.152392682,0,0,0,0,0,0.076196341,0.076196341,0,0,0,0,0,0,0,0.107757899,0,0,0,0,0,0,0,0,0,0,0.170380199,0,0,0
38,LC.4,Leon,Active Channel Shelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612574113,0,0,0,0,0,0,0,0,0.387425887,0,0,0
39,LC.5,Leon,Floodplain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,LC.6,Leon,Riparian Terrace,0.03360061,0.067201219,0,0,0.027434783,0.082304349,0,0.114767931,0,0,0,0,0,0.082304349,0.069945247,0,0,0.0433782,0.03360061,0,0.142555313,0,0,0.027434783,0.0433782,0,0.038798642,0,0,0,0,0,0,0.146461662,0.027434783,0,0.019399321
