creekname,geotype,creeksample,native.can,dt.vh.can,dt.h.can,dt.m.can,dt.l.can,ht.vh.can,ht.h.can,ht.mh.can,ht.m.can,ht.l.can,wu.h.can,wu.m.can,wu.lm.can,wu.l.can,at.n.can,at.l.can,at.m.can,at.h.can,ra.y.can,pbc.y.can,native.ba,dt.vh.ba,dt.h.ba,dt.m.ba,dt.l.ba,ht.vh.ba,ht.h.ba,ht.mh.ba,ht.m.ba,ht.l.ba,wu.h.ba,wu.m.ba,wu.lm.ba,wu.l.ba,at.n.ba,at.l.ba,at.m.ba,at.h.ba,ra.y.ba,pbc.y.ba,native.stem,dt.vh.stem,dt.h.stem,dt.m.stem,dt.l.stem,ht.vh.stem,ht.h.stem,ht.mh.stem,ht.m.stem,ht.l.stem,wu.h.stem,wu.m.stem,wu.lm.stem,wu.l.stem,at.n.stem,at.l.stem,at.m.stem,at.h.stem,ra.y.stem,pbc.y.stem
Salado,Floodplain,SC.FP,1,0.094339623,0.056603774,0.849056604,0,0.547169811,0.452830189,0,0,0,0,0.849056604,0,0.150943396,0.547169811,0,0.452830189,0,0.905660377,0.905660377,1,0.019923223,0.177656835,0.802419943,0,0.318820156,0.671461198,0,0.009718645,0,0,0.812138588,0,0.187861412,0.329024734,0,0.670975266,0,0.928567958,0.979590845,1,0.01002004,0.086172345,0.903807615,0,0.310621242,0.685370741,0,0.004008016,0,0,0.907815631,0,0.092184369,0.316633267,0,0.683366733,0,0.957915832,0.987975952
Salado,RiparianTerrace,SC.RT,0.99125,0.26875,0.21875,0.5125,0,0.6775,0.3225,0,0,0,0,0.5125,0,0.4875,0.665,0.01,0.325,0,0.71875,0.71875,0.998626034,0.272100245,0.354167239,0.373732516,0,0.845923443,0.154076557,0,0,0,0,0.378953587,0,0.621046413,0.823115606,0.06402682,0.112857575,0,0.730922481,0.723777857,0.991,0.088073394,0.247706422,0.664220183,0,0.809174312,0.190825688,0,0,0,0,0.666055046,0,0.333944954,0.788990826,0.03853211,0.172477064,0,0.902752294,0.888073394
LeonCreekTrib,ActiveChannel,LCT.AC,1,0.539589443,0.064516129,0.395894428,0,0.671554252,0.328445748,0,0,0,0,0.395894428,0,0.604105572,0.680351906,0,0.319648094,0,0.460410557,0.451612903,1,0.525276481,0.12302469,0.351698829,0,0.707217215,0.292782785,0,0,0,0,0.352198118,0,0.647801882,0.707716504,0.004493597,0.287789899,0,0.479217116,0.479217116,1,0.212927757,0.212927757,0.574144487,0,0.80608365,0.19391635,0,0,0,0,0.577946768,0,0.422053232,0.809885932,0.003802281,0.186311787,0,0.790874525,0.790874525
LeonCreekTrib,Island,LCT.ISL,1,0.488888889,0.133333333,0.377777778,0,0.622222222,0.377777778,0,0,0,0,0.377777778,0,0.622222222,0.622222222,0,0.377777778,0,0.511111111,0.511111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeonCreekTrib,ActiveChannelShelf,LCT.ACS,1,0.73015873,0.015873016,0.253968254,0,0.76984127,0.23015873,0,0,0,0,0.253968254,0,0.746031746,0.777777778,0,0.222222222,0,0.26984127,0.261904762,1,0.778393352,0.135734072,0.083102493,0.002770083,0.966759003,0.033240997,0,0,0,0.002770083,0.083102493,0,0.914127424,0.966759003,0.002770083,0.030470914,0,0.371191136,0.368421053,1,0.254237288,0.220338983,0.508474576,0.016949153,0.796610169,0.203389831,0,0,0,0.016949153,0.508474576,0,0.474576271,0.796610169,0.016949153,0.186440678,0,0.847457627,0.830508475
LeonCreekTrib,Floodplain,LCT.FP,1,0.722891566,0.036144578,0.240963855,0,0.795180723,0.204819277,0,0,0,0,0.240963855,0,0.759036145,0.795180723,0,0.204819277,0,0.301204819,0.301204819,1,0.398764223,0.091929772,0.509306006,0,0.602818175,0.397181825,0,0,0,0,0.509306006,0,0.490693994,0.602818175,0,0.397181825,0,0.628362595,0.628362595,1,0.306451613,0.403225806,0.290322581,0,0.983870968,0.016129032,0,0,0,0,0.290322581,0,0.709677419,0.983870968,0,0.016129032,0,0.725806452,0.725806452
LeonCreekTrib,RiparianTerrace,LCT.RT,1,0.6,0.133333333,0.266666667,0,0.8,0.2,0,0,0,0,0.266666667,0,0.733333333,0.8,0.00952381,0.19047619,0,0.466666667,0.466666667,1,0.506756757,0.241991992,0.251251251,0,0.948948949,0.051051051,0,0,0,0,0.251251251,0.027027027,0.721721722,0.948948949,0,0.051051051,0,0.817567568,0.817567568,1,0.33632287,0.183856502,0.479820628,0,0.959641256,0.040358744,0,0,0,0,0.479820628,0.013452915,0.506726457,0.959641256,0,0.040358744,0,0.825112108,0.825112108
French,ActiveChannel,FC.AC,1,0.038461538,0.259615385,0.682692308,0.019230769,0.442307692,0.557692308,0,0,0,0.019230769,0.682692308,0.028846154,0.269230769,0.442307692,0,0.548076923,0.009615385,0.951923077,0.942307692,0.99448428,0.198565913,0.016547159,0.784886928,0,0.529784887,0.470215113,0,0,0,0,0.779371208,0,0.220628792,0.529784887,0,0.2716492,0.198565913,1,0.801434087,0.969,0.125,0.09375,0.78125,0,0.8125,0.1875,0,0,0,0,0.75,0,0.25,0.8125,0,0.0625,0.125,1,0.875
French,Island,FC.ISL,1,0,0,1,0,0.375,0.625,0,0,0,0,1,0,0,0.375,0,0.625,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French,SecondaryActiveChannel,FC.SAC,1,0.052631579,0.175438596,0.771929825,0,0.49122807,0.50877193,0,0,0,0,0.771929825,0,0.228070175,0.49122807,0,0.50877193,0,0.947368421,0.947368421,1,0,0.003844675,0.996155325,0,0.99231065,0.00768935,0,0,0,0,0.996155325,0,0.003844675,0.99231065,0,0.00768935,0,1,1,1,0,0.047619048,0.952380952,0,0.904761905,0.095238095,0,0,0,0,0.952380952,0,0.047619048,0.904761905,0,0.095238095,0,1,1
French,ActiveChannelShelf,FC.ACS,1,0.040540541,0.310810811,0.648648649,0,0.716216216,0.283783784,0,0,0,0,0.648648649,0,0.351351351,0.675675676,0.040540541,0.27027027,0.013513514,0.972972973,0.959459459,1,0,0.937759336,0.062240664,0,0.937759336,0.062240664,0,0,0,0,0.062240664,0,0.937759336,0.937759336,0,0.062240664,0,1,1,1,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,1,1
French,Floodplain,FC.FP,1,0.028301887,0.20754717,0.764150943,0,0.528301887,0.471698113,0,0,0,0,0.764150943,0,0.235849057,0.547169811,0,0.452830189,0,0.962264151,0.971698113,1,0.050513209,0.211071849,0.738414942,0,0.481272085,0.518727915,0,0,0,0,0.738414942,0,0.261585058,0.489651691,0,0.510348309,0,0.955544338,0.954871277,1,0.006779661,0.027118644,0.966101695,0,0.301694915,0.698305085,0,0,0,0,0.966101695,0,0.033898305,0.308474576,0,0.691525424,0,0.996610169,0.993220339
French,RiparianTerrace,FC.RT,0.991316932,0.070911722,0.179450072,0.743849493,0.005788712,0.616497829,0.383502171,0,0,0,0.005788712,0.735166425,0.002894356,0.256150507,0.629522431,0.013024602,0.357452967,0,0.93487699,0.917510854,0.981788536,0.136611062,0.284610561,0.558810987,0.01996739,0.805945065,0.19004139,0,0.004013546,0,0.01996739,0.540599523,0,0.439433087,0.785877336,0.074727204,0.125849743,0.013545717,0.99849492,0.956879468,0.973,0.059782609,0.10326087,0.823369565,0.013586957,0.845108696,0.133152174,0,0.02173913,0,0.013586957,0.796195652,0,0.190217391,0.875,0.038043478,0.078804348,0.008152174,0.972826087,0.932065217
GovernmentCanyon,ActiveChannel,GC.AC,0.993377483,0.165562914,0.264900662,0.569536424,0,0.821192053,0.092715232,0.086092715,0,0,0,0.569536424,0.013245033,0.417218543,0.953642384,0.006622517,0.039735099,0,0.741721854,0.715231788,1,0.177366343,0.2055993,0.617034357,0,0.810361543,0.142725403,0.046913055,0,0,0,0.617034357,0.031921685,0.351043957,0.920195786,0.034049798,0.043626303,0.002128112,0.775720602,0.689390178,1,0.132075472,0.212938005,0.654986523,0,0.746630728,0.234501348,0.018867925,0,0,0,0.654986523,0.040431267,0.30458221,0.908355795,0.043126685,0.045822102,0.002695418,0.849056604,0.69541779
GovernmentCanyon,Island,GC.ISL,1,0.4,0.133333333,0.466666667,0,0.866666667,0.133333333,0,0,0,0,0.466666667,0.066666667,0.466666667,0.866666667,0,0.133333333,0,0.6,0.466666667,1,0.407316273,0,0.592683727,0,0.715059055,0.284940945,0,0,0,0,0.592683727,0,0.407316273,1,0,0,0,0.858431759,0.573490814,1,0.448275862,0,0.551724138,0,0.620689655,0.379310345,0,0,0,0,0.551724138,0,0.448275862,1,0,0,0,0.862068966,0.482758621
GovernmentCanyon,ActiveChannelShelf,GC.ACS,1,0.176470588,0.397058824,0.426470588,0,0.838235294,0.147058824,0.014705882,0,0,0.014705882,0.411764706,0.014705882,0.558823529,0.970588235,0,0.014705882,0.014705882,0.808823529,0.691176471,1,0.120753729,0.319471343,0.559774928,0,0.698220361,0.301779639,0,0,0,0,0.559774928,0.056529704,0.383695368,0.91308558,0.019916252,0.066998168,0,0.879246271,0.6444648,1,0.157303371,0.247191011,0.595505618,0,0.691011236,0.308988764,0,0,0,0,0.595505618,0.06741573,0.337078652,0.91011236,0.011235955,0.078651685,0,0.842696629,0.612359551
GovernmentCanyon,Floodplain,GC.FP,0.975,0.275,0.425,0.3,0,0.825,0.175,0,0,0,0,0.3,0,0.7,0.95,0.025,0.025,0,0.725,0.625,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GovernmentCanyon,RiparianTerrace,GC.RT,0.983333333,0.183333333,0.441666667,0.375,0,0.8,0.2,0,0,0,0,0.375,0.008333333,0.616666667,0.983333333,0.008333333,0.008333333,0,0.841666667,0.683333333,1,0.139399372,0.375881178,0.483089524,0.001629925,0.627928772,0.372071228,0,0,0,0.001629925,0.483089524,0.022003993,0.493276558,0.976366081,0.001629925,0.022003993,0,0.86426796,0.514200725,1,0.075,0.25,0.655,0.02,0.52,0.48,0,0,0,0.02,0.655,0.03,0.295,0.95,0.02,0.03,0,0.93,0.48
GovernmentCanyonTrib,ActiveChannel,GCT.AC,1,0.135245902,0.241803279,0.610655738,0.012295082,0.549180328,0.450819672,0,0,0,0.012295082,0.610655738,0,0.37704918,0.864754098,0.036885246,0.098360656,0,0.864754098,0.508196721,1,0.034032139,0.163178796,0.788298855,0.014490211,0.498079054,0.501920946,0,0,0,0.014490211,0.788298855,0,0.197210935,0.948753232,0.014490211,0.036756557,0,0.939370151,0.508939786,1,0.033663366,0.102970297,0.83960396,0.023762376,0.392079208,0.607920792,0,0,0,0.023762376,0.83960396,0,0.136633663,0.938613861,0.023762376,0.037623762,0,0.946534653,0.403960396
GovernmentCanyonTrib,Island,GCT.ISL,1,0.3,0.166666667,0.5,0.033333333,0.566666667,0.433333333,0,0,0,0.033333333,0.5,0,0.466666667,0.9,0.033333333,0.066666667,0,0.733333333,0.3,1,0.147460475,0.131865765,0.691767544,0.028906216,0.283634171,0.716365829,0,0,0,0.028906216,0.691767544,0,0.27932624,0.939215095,0.028906216,0.031878689,0,0.875716194,0.168052384,1,0.122807018,0.078947368,0.754385965,0.043859649,0.245614035,0.754385965,0,0,0,0.043859649,0.754385965,0,0.201754386,0.789473684,0.043859649,0.166666667,0,0.903508772,0.289473684
GovernmentCanyonTrib,ActiveChannelShelf,GCT.ACS,1,0.154411765,0.213235294,0.632352941,0,0.588235294,0.411764706,0,0,0,0,0.632352941,0,0.367647059,0.875,0.044117647,0.080882353,0,0.860294118,0.522058824,1,0.01317179,0.130298523,0.772434624,0.084095064,0.226146002,0.773853998,0,0,0,0.084095064,0.772434624,0,0.143470312,0.838236797,0.084095064,0.077668139,0,0.990916007,0.290642352,1,0.018575851,0.074303406,0.826625387,0.080495356,0.213622291,0.786377709,0,0,0,0.080495356,0.826625387,0,0.092879257,0.86377709,0.080495356,0.055727554,0,0.987616099,0.250773994
GovernmentCanyonTrib,Floodplain,GCT.FP,0.993103448,0.151724138,0.310344828,0.524137931,0.013793103,0.586206897,0.413793103,0,0,0,0.013793103,0.524137931,0,0.462068966,0.917241379,0.027586207,0.055172414,0,0.882758621,0.510344828,1,0.044086353,0.096269925,0.80470308,0.054940643,0.260850944,0.739149056,0,0,0,0.054940643,0.80470308,0,0.140356278,0.942650267,0.057349733,0,0,0.960731828,0.219173682,1,0.014124294,0.062146893,0.875706215,0.048022599,0.163841808,0.836158192,0,0,0,0.048022599,0.875706215,0,0.076271186,0.949152542,0.050847458,0,0,0.991525424,0.152542373
GovernmentCanyonTrib,RiparianTerrace,GCT.RT,1,0.197916667,0.479166667,0.322916667,0,0.708333333,0.291666667,0,0,0,0,0.322916667,0,0.677083333,0.895833333,0.041666667,0.0625,0,0.8125,0.583333333,1,0.139345803,0.190877902,0.652340446,0.017435849,0.354662092,0.645337908,0,0,0,0.017435849,0.652340446,0.012689163,0.317534543,0.945436601,0.02166557,0.032897829,0,0.852194755,0.221425886,1,0.052863436,0.114537445,0.788546256,0.044052863,0.264317181,0.735682819,0,0,0,0.044052863,0.788546256,0.013215859,0.154185022,0.907488987,0.04845815,0.044052863,0,0.938325991,0.198237885
Huesta,ActiveChannel,HC.AC,0.98265896,0.10982659,0.12716763,0.76300578,0,0.820809249,0.179190751,0,0,0,0,0.76300578,0.005780347,0.231213873,0.832369942,0.057803468,0.092485549,0.01734104,0.895953757,0.855491329,0.969323861,0.054171534,0.150546694,0.794898799,0.000382973,0.933515884,0.059207629,0,0.007276487,0,0.000382973,0.787622312,0.006893514,0.205101201,0.954426211,0.016084867,0.012255137,0.017233786,0.932386113,0.915343814,0.986,0.007114625,0.035573123,0.956521739,0.000790514,0.977865613,0.021343874,0,0.000790514,0,0.000790514,0.955731225,0.001581028,0.041897233,0.978656126,0.004743083,0.012648221,0.003952569,0.982608696,0.986561265
Huesta,Island,HC.ISL,1,0.035714286,0,0.964285714,0,0.964285714,0.035714286,0,0,0,0,0.964285714,0,0.035714286,0.964285714,0.035714286,0,0,0.964285714,0.964285714,1,0,0,1,0,0.720482438,0.279517562,0,0,0,0,1,0,0,0.720482438,0,0.279517562,0,1,1,1,0,0,1,0,0.318181818,0.681818182,0,0,0,0,1,0,0,0.318181818,0,0.681818182,0,1,1
Huesta,SecondaryActiveChannel,HC.SAC,0.904761905,0.523809524,0.095238095,0.380952381,0,0.857142857,0.142857143,0,0,0,0,0.380952381,0,0.619047619,0.952380952,0.047619048,0,0,0.380952381,0.380952381,1,0.257248775,0,0.742751225,0,0.919237389,0.080762611,0,0,0,0,0.742751225,0,0.257248775,1,0,0,0,0.742751225,0.661988614,1,0.01953125,0,0.98046875,0,0.99609375,0.00390625,0,0,0,0,0.98046875,0,0.01953125,1,0,0,0,0.98046875,0.9765625
Huesta,ActiveChannelShelf,HC.ACS,0.92,0.108571429,0.2,0.691428571,0,0.8,0.188571429,0,0.011428571,0,0,0.68,0,0.32,0.862857143,0.011428571,0.125714286,0,0.84,0.845714286,0.957870913,0.331906307,0.299457366,0.367545606,0.001090721,0.899108336,0.098710223,0,0.002181441,0,0.001090721,0.365364164,0.014724729,0.618820386,0.965096938,0.005998964,0.023995855,0.004908243,0.627437079,0.622828784,0.973,0.096969697,0.148484848,0.748484848,0.006060606,0.887878788,0.1,0,0.012121212,0,0.006060606,0.736363636,0.009090909,0.248484848,0.927272727,0.009090909,0.060606061,0.003030303,0.890909091,0.881818182
Huesta,Floodplain,HC.FP,0.95,0.2375,0.2125,0.55,0,0.9125,0.0875,0,0,0,0,0.55,0,0.45,0.9625,0.025,0,0.0125,0.7125,0.6875,0.924227256,0.263358779,0.394694031,0.341947191,0,0.933299962,0.066700038,0,0,0,0,0.341947191,0,0.658052809,0.951195094,0.045050682,0.003754224,0,0.683393818,0.759166562,0.926,0.111111111,0.324074074,0.564814815,0,0.925925926,0.074074074,0,0,0,0,0.564814815,0,0.435185185,0.935185185,0.037037037,0.027777778,0,0.833333333,0.907407407
Huesta,RiparianTerrace,HC.RT,0.880503145,0.213836478,0.300314465,0.460691824,0.025157233,0.81918239,0.15408805,0,0.02672956,0,0.003144654,0.455974843,0.003144654,0.537735849,0.849056604,0.029874214,0.121069182,0,0.698113208,0.772012579,0.904808509,0.290634118,0.234839532,0.405999557,0.068526794,0.847610518,0.094757543,0,0.057631939,0,0.012556783,0.40433763,0.018281198,0.56482439,0.924262289,0.04117886,0.034558851,0,0.754533368,0.707500831,0.935,0.104938272,0.205761317,0.66563786,0.023662551,0.889917695,0.091563786,0,0.018518519,0,0.014403292,0.656378601,0.011316872,0.317901235,0.9218107,0.033950617,0.044238683,0,0.900205761,0.907407407
LeonCreek,ActiveChannel,LC.AC,1,0,0.205128205,0.653846154,0.141025641,0.871794872,0.128205128,0,0,0,0.141025641,0.538461538,0,0.320512821,0.58974359,0.205128205,0.102564103,0.102564103,0.820512821,0.807692308,1,0,0.017397123,0.744529943,0.238072934,0.986617598,0.013382402,0,0,0,0.238072934,0.741853463,0,0.020073603,0.759250585,0.00267648,0.012044162,0.226028772,0.985279358,0.983941117,1,0,0.208333333,0.708333333,0.083333333,0.916666667,0.083333333,0,0,0,0.083333333,0.625,0,0.291666667,0.833333333,0.083333333,0.041666667,0.041666667,0.875,0.833333333
LeonCreek,Island,LC.ISL,1,0.037037037,0.037037037,0.814814815,0.111111111,0.777777778,0.148148148,0.074074074,0,0,0.222222222,0.481481481,0,0.296296296,0.555555556,0.222222222,0.037037037,0.185185185,0.62962963,0.62962963,1,0.016686753,0.25632706,0.407805692,0.319180495,0.764253268,0.235746732,0,0,0,0.477982757,0.309261148,0.016686753,0.196069343,0.50533049,0,0.016686753,0.477982757,0.983313247,0.983313247,1,0.033333333,0.266666667,0.6,0.1,0.433333333,0.566666667,0,0,0,0.566666667,0.2,0.033333333,0.2,0.4,0,0.033333333,0.566666667,0.966666667,0.966666667
LeonCreek,SecondaryActiveChannel,LC.SAC,1,0.214285714,0,0.785714286,0,0.857142857,0.142857143,0,0,0,0,0.642857143,0,0.357142857,0.714285714,0.142857143,0,0.142857143,0.785714286,0.642857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeonCreek,ActiveChannelShelf,LC.ACS,1,0.027777778,0.25,0.666666667,0.055555556,0.944444444,0,0,0,0.055555556,0,0.472222222,0.055555556,0.472222222,0.75,0.25,0,0,0.722222222,0.666666667,1,0.466666667,0.533333333,0,0,0.533333333,0.466666667,0,0,0,0,0,0,1,0.533333333,0,0,0.466666667,1,0.533333333,1,0.714285714,0.285714286,0,0,0.285714286,0.714285714,0,0,0,0,0,0,1,0.285714286,0,0,0.714285714,1,0.285714286
LeonCreek,Floodplain,LC.FP,1,0.064220183,0.385321101,0.532110092,0.018348624,0.880733945,0.119266055,0,0,0,0.055045872,0.431192661,0.009174312,0.504587156,0.605504587,0.28440367,0.04587156,0.064220183,0.816513761,0.733944954,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
LeonCreek,RiparianTerrace,LC.RT,0.997685185,0.097222222,0.335648148,0.56712963,0,0.787037037,0.212962963,0,0,0,0,0.516203704,0.018518519,0.465277778,0.74537037,0.064814815,0.168981481,0.020833333,0.872685185,0.800925926,1,0.127771148,0.49864381,0.371776789,0.001808253,0.868304944,0.131695056,0,0,0,0.001808253,0.268887201,0.08502405,0.644280496,0.780912083,0.104697841,0.105276482,0.009113594,0.783515967,0.691059998,1,0.162393162,0.418803419,0.397435897,0.021367521,0.636752137,0.363247863,0,0,0,0.021367521,0.388888889,0.076923077,0.512820513,0.632478632,0.02991453,0.316239316,0.021367521,0.841880342,0.794871795
